user_id,genres,item_id,item_name,recommend,sentiment_analysis,cluster
16608,0,20,143,0,1,1
16159,0,20,143,0,1,1
1323,0,20,143,0,1,1
17655,0,20,143,0,1,1
14181,0,20,143,0,1,1
17038,0,20,143,0,1,1
14034,0,20,143,0,1,1
12105,0,20,143,0,1,1
4676,0,20,143,0,1,1
1873,0,20,143,0,1,1
17439,0,20,143,0,1,1
10568,0,20,143,0,1,1
2097,0,20,143,0,1,1
16716,0,20,143,0,1,1
8391,0,20,143,0,1,1
12529,0,20,143,0,1,1
35,0,20,143,0,1,1
16936,0,20,143,0,1,1
1006,0,20,143,0,1,1
8780,0,20,143,0,1,1
10962,0,20,143,0,1,1
9736,0,20,143,0,1,1
4495,0,20,143,0,1,1
14684,0,20,143,0,1,1
17941,0,20,143,0,1,1
4784,0,20,143,0,1,1
12281,0,20,143,0,1,1
15259,0,20,143,0,1,1
6548,0,20,143,0,1,1
9823,0,20,143,0,1,1
330,0,20,143,0,1,1
18657,0,20,143,0,1,1
15638,0,20,143,0,1,1
6856,0,20,143,0,1,1
976,0,20,143,0,1,1
7117,0,20,143,0,1,1
8012,0,20,143,0,1,1
11952,0,20,143,0,1,1
12009,0,20,143,0,1,1
9088,0,20,143,0,1,1
13542,0,20,143,0,1,1
3403,0,20,143,0,1,1
5309,0,20,143,0,1,1
4455,0,20,143,0,1,1
7537,0,20,143,0,1,1
6743,0,20,143,0,1,1
12973,0,20,143,0,1,1
7340,0,20,143,0,1,1
82,0,20,143,0,1,1
331,0,20,143,0,1,1
13235,0,20,143,0,1,1
9998,0,20,143,0,1,1
7705,0,20,143,0,1,1
9168,0,20,143,0,1,1
11541,0,20,143,0,1,1
1031,0,20,143,0,1,1
425,0,20,143,0,1,1
15710,0,20,143,0,1,1
648,0,20,143,0,1,1
807,0,20,143,0,1,1
1288,0,20,143,0,1,1
16154,0,20,143,0,1,1
1741,0,20,143,0,1,1
13792,0,20,143,0,1,1
16361,0,20,143,0,1,1
2766,0,20,143,0,1,1
3328,0,20,143,0,1,1
3492,0,20,143,0,1,1
3590,0,20,143,0,1,1
3974,0,20,143,0,1,1
17165,0,20,143,0,1,1
4589,0,20,143,0,1,1
5296,0,20,143,0,1,1
5457,0,20,143,0,1,1
18078,0,20,143,0,1,1
14317,0,20,143,0,1,1
5628,0,20,143,0,1,1
17942,0,20,143,0,1,1
5856,0,20,143,0,1,1
6066,0,20,143,0,1,1
6221,0,20,143,0,1,1
6495,0,20,143,0,1,1
6956,0,20,143,0,1,1
7029,0,20,143,0,1,1
17127,0,20,143,0,1,1
7395,0,20,143,0,1,1
7931,0,20,143,0,1,1
8073,0,20,143,0,1,1
8337,0,20,143,0,1,1
13919,0,20,143,0,1,1
17791,0,20,143,0,1,1
8879,0,20,143,0,1,1
9187,0,20,143,0,1,1
17878,0,20,143,0,1,1
9861,0,20,143,0,1,1
9893,0,20,143,0,1,1
10115,0,20,143,0,1,1
10253,0,20,143,0,1,1
10600,0,20,143,0,1,1
10791,0,20,143,0,1,1
17156,0,20,143,0,1,1
18373,0,20,143,0,1,1
15236,0,20,143,0,1,1
13657,0,20,143,0,1,1
11519,0,20,143,0,1,1
11635,0,20,143,0,1,1
11766,0,20,143,0,1,1
14797,0,240,30,1,2,1
14797,0,240,30,1,0,1
8730,0,240,30,1,2,1
8730,0,240,30,1,0,1
8676,0,240,30,1,2,1
8676,0,240,30,1,0,1
13891,0,240,30,1,2,1
13891,0,240,30,1,0,1
8634,0,240,30,1,2,1
8634,0,240,30,1,0,1
14553,0,240,30,1,2,1
14553,0,240,30,1,0,1
1345,0,240,30,1,2,1
1345,0,240,30,1,0,1
9068,0,240,30,1,2,1
9068,0,240,30,1,0,1
8722,0,240,30,1,2,1
8722,0,240,30,1,0,1
8557,0,240,30,1,2,1
8557,0,240,30,1,0,1
3770,0,240,30,1,2,1
3770,0,240,30,1,0,1
17692,0,240,30,1,2,1
17692,0,240,30,1,0,1
7538,0,240,30,1,2,1
7538,0,240,30,1,0,1
9444,0,240,30,1,2,1
9444,0,240,30,1,0,1
15751,0,240,30,1,2,1
15751,0,240,30,1,0,1
9623,0,240,30,1,2,1
9623,0,240,30,1,0,1
11400,0,240,30,1,2,1
11400,0,240,30,1,0,1
15644,0,240,30,1,2,1
15644,0,240,30,1,0,1
916,0,240,30,1,2,1
916,0,240,30,1,0,1
17896,0,240,30,1,2,1
17896,0,240,30,1,0,1
1338,0,240,30,1,2,1
1338,0,240,30,1,0,1
7322,0,240,30,1,2,1
7322,0,240,30,1,0,1
6173,0,240,30,1,2,1
6173,0,240,30,1,0,1
15629,0,240,30,1,2,1
15629,0,240,30,1,0,1
450,0,240,30,1,2,1
450,0,240,30,1,0,1
14028,0,240,30,1,2,1
14028,0,240,30,1,0,1
7978,0,240,30,1,2,1
7978,0,240,30,1,0,1
6908,0,240,30,1,2,1
6908,0,240,30,1,0,1
12822,0,240,30,1,2,1
12822,0,240,30,1,0,1
14363,0,240,30,1,2,1
14363,0,240,30,1,0,1
2621,0,240,30,1,2,1
2621,0,240,30,1,0,1
15994,0,240,30,1,2,1
15994,0,240,30,1,0,1
18316,0,240,30,1,2,1
18316,0,240,30,1,0,1
18407,0,240,30,1,2,1
18407,0,240,30,1,0,1
8351,0,240,30,1,2,1
