item_id,recommend,sentiment_analysis,posted_year,item_name
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
20,False,1,2014,Team Fortress Classic
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,2,2014,Counter-Strike: Source
240,True,0,2012,Counter-Strike: Source
240,True,2,2015,Counter-Strike: Source
